,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
1044,1044,oklahoma,0.34,0.63,0.03,5,7,323
1045,1045,oklahoma,0.3,0.61,0.09,12,7,664
1046,1046,oklahoma,0.31,0.54,0.02,11,7,472
1047,1047,oklahoma,0.33,0.63,NA,13,7,321
1048,1048,oklahoma,0.32,0.56,0.02,18,7,493
1049,1049,oklahoma,0.3,0.6,0.06,20,7,530
1050,1050,oklahoma,0.36,0.51,0.13,36,7,647
1051,1051,oklahoma,0.33,0.53,0.14,43,7,638
1052,1052,oklahoma,0.36,0.51,0.08,55,7,515
1053,1053,oklahoma,0.32,0.53,0.15,64,7,498
1054,1054,oklahoma,0.33,0.57,0.1,79,7,1041
1055,1055,oklahoma,0.29,0.53,0.11,109,7,398
1056,1056,oregon,0.5,0.35,0.02,4,7,1595
1057,1057,oregon,0.51,0.43,NA,5,7,319
1058,1058,oregon,0.47,0.37,0.16,12,7,636
1059,1059,oregon,0.51,0.36,0.02,11,7,743
1060,1060,oregon,0.41,0.34,0.11,12,7,504
1061,1061,oregon,0.5,0.43,NA,13,7,313
1062,1062,oregon,0.51,0.32,0.03,18,7,576
1063,1063,oregon,0.46,0.36,0.04,30,7,608
1064,1064,oregon,0.43,0.36,0.07,29,7,600
1065,1065,oregon,0.47,0.37,0.16,36,7,616
1066,1066,oregon,0.48,0.38,0.05,28,7,654
1067,1067,oregon,0.51,0.36,0.13,43,7,626
1068,1068,oregon,0.47,0.39,0.08,35,7,1248
1069,1069,oregon,0.45,0.33,0.11,39,7,605
1070,1070,oregon,0.44,0.41,0.15,64,7,687
1071,1071,oregon,0.43,0.28,0.08,65,7,610
1072,1072,oregon,0.38,0.25,0.17,66,7,517
1073,1073,oregon,0.55,0.36,0.09,79,7,877
1074,1074,oregon,0.43,0.4,0.08,120,7,701
1075,1075,oregon,0.46,0.32,0.22,136,7,555
1076,1076,oregon,0.42,0.44,0.13,180,7,657
1077,1077,oregon,0.43,0.32,0.15,184,7,901
1078,1078,pennsylvania,0.46,0.43,0.03,4,20,2845
1079,1079,pennsylvania,0.48,0.47,0.05,5,20,390
1080,1080,pennsylvania,0.48,0.45,0.07,12,20,955
1081,1081,pennsylvania,0.45,0.43,0.04,4,20,931
1082,1082,pennsylvania,0.48,0.42,0.03,7,20,405
1083,1083,pennsylvania,0.46,0.45,0.03,7,20,2683
1084,1084,pennsylvania,0.47,0.45,0.03,7,20,1016
1085,1085,pennsylvania,0.48,0.44,0.08,8,20,1050
1086,1086,pennsylvania,0.45,0.43,0.06,8,20,681
1087,1087,pennsylvania,0.48,0.44,0.03,8,20,403
1088,1088,pennsylvania,0.48,0.43,0.02,10,20,612
1089,1089,pennsylvania,0.48,0.44,0.01,10,20,799
1090,1090,pennsylvania,0.49,0.41,0.02,11,20,2255
1091,1091,pennsylvania,0.45,0.43,0.06,9,20,1249
1092,1092,pennsylvania,0.49,0.38,0.07,11,20,652
1093,1093,pennsylvania,0.5,0.46,NA,13,20,366
1094,1094,pennsylvania,0.48,0.4,0.02,12,20,1091
1095,1095,pennsylvania,0.46,0.41,0.03,16,20,420
1096,1096,pennsylvania,0.46,0.39,0.06,15,20,824
1097,1097,pennsylvania,0.48,0.42,0.02,18,20,2131
1098,1098,pennsylvania,0.45,0.42,0.07,18,20,1997
1099,1099,pennsylvania,0.45,0.39,0.09,27,20,1467
1100,1100,pennsylvania,0.47,0.41,0.04,26,20,660
1101,1101,pennsylvania,0.51,0.42,0.07,27,20,1449
1102,1102,pennsylvania,0.46,0.42,0.12,36,20,2271
1103,1103,pennsylvania,0.51,0.42,0.04,30,20,806
1104,1104,pennsylvania,0.47,0.38,0.07,30,20,1457
1105,1105,pennsylvania,0.44,0.4,0.08,33,20,764
1106,1106,pennsylvania,0.48,0.4,0.04,33,20,997
1107,1107,pennsylvania,0.51,0.39,0.03,34,20,709
1108,1108,pennsylvania,0.49,0.43,0.08,43,20,890
1109,1109,pennsylvania,0.5,0.4,0.02,37,20,402
1110,1110,pennsylvania,0.48,0.36,0.07,39,20,813
1111,1111,pennsylvania,0.45,0.41,0.06,40,20,535
1112,1112,pennsylvania,0.45,0.39,0.08,42,20,886
1113,1113,pennsylvania,0.45,0.44,0.01,47,20,771
1114,1114,pennsylvania,0.44,0.41,0.04,48,20,486
1115,1115,pennsylvania,0.42,0.41,0.11,51,20,420
1116,1116,pennsylvania,0.46,0.38,0.04,55,20,400
1117,1117,pennsylvania,0.47,0.38,0.04,55,20,405
1118,1118,pennsylvania,0.46,0.44,0.1,64,20,776
1119,1119,pennsylvania,0.48,0.43,0.05,67,20,778
1120,1120,pennsylvania,0.45,0.37,0.06,68,20,1091
1121,1121,pennsylvania,0.47,0.43,0.1,79,20,2861
1122,1122,pennsylvania,0.47,0.42,0.11,70,20,814
1123,1123,pennsylvania,0.48,0.4,0.04,72,20,402
1124,1124,pennsylvania,0.47,0.4,0.07,73,20,496
1125,1125,pennsylvania,0.48,0.43,0.09,74,20,1194
1126,1126,pennsylvania,0.48,0.37,0.06,95,20,834
1127,1127,pennsylvania,0.52,0.42,0.05,97,20,815
1128,1128,pennsylvania,0.47,0.37,0.08,98,20,772
1129,1129,pennsylvania,0.49,0.38,0.08,100,20,389
1130,1130,pennsylvania,0.45,0.42,0.08,101,20,1505
1131,1131,pennsylvania,0.5,0.41,0.09,105,20,500
1132,1132,pennsylvania,0.41,0.43,0.13,125,20,982
1133,1133,pennsylvania,0.45,0.36,0.06,124,20,829
1134,1134,pennsylvania,0.48,0.47,NA,134,20,1958
1135,1135,pennsylvania,0.46,0.42,0.11,139,20,980
1136,1136,pennsylvania,0.49,0.39,0.05,146,20,300
1137,1137,pennsylvania,0.42,0.41,0.14,147,20,950
1138,1138,pennsylvania,0.41,0.4,0.11,157,20,1106
1139,1139,pennsylvania,0.43,0.42,0.12,189,20,1077
1140,1140,pennsylvania,0.54,0.39,0.07,203,20,2606
1141,1141,pennsylvania,0.44,0.44,0.09,216,20,1607
1142,1142,pennsylvania,0.45,0.42,0.1,221,20,1737
1143,1143,pennsylvania,0.46,0.33,0.1,236,20,828
1144,1144,pennsylvania,0.43,0.35,0.19,247,20,421
1145,1145,pennsylvania,0.45,0.4,0.15,252,20,662
1146,1146,pennsylvania,0.43,0.45,0.13,395,20,1012
1147,1147,pennsylvania,0.44,0.42,0.1,405,20,1049
1148,1148,pennsylvania,0.45,0.4,0.12,453,20,1085
1149,1149,rhode-island,0.48,0.36,0.03,4,4,415
1150,1150,rhode-island,0.59,0.37,0.04,5,4,310
1151,1151,rhode-island,0.49,0.36,0.01,11,4,419
1152,1152,rhode-island,0.57,0.4,NA,13,4,308
1153,1153,rhode-island,0.49,0.37,0.03,18,4,488
1154,1154,rhode-island,0.5,0.4,0.11,79,4,625
1155,1155,south-carolina,0.43,0.47,0.03,4,9,1698
1156,1156,south-carolina,0.42,0.53,0,5,9,338
1157,1157,south-carolina,0.44,0.49,NA,12,9,617
1158,1158,south-carolina,0.43,0.45,0.03,11,9,1762
1159,1159,south-carolina,0.42,0.54,0,13,9,325
1160,1160,south-carolina,0.43,0.45,0.03,18,9,1900
1161,1161,south-carolina,0.46,0.49,0.05,36,9,751
1162,1162,south-carolina,0.47,0.48,0.05,43,9,528
1163,1163,south-carolina,0.38,0.42,0.11,47,9,475
1164,1164,south-carolina,0.43,0.51,0.06,64,9,703
1165,1165,south-carolina,0.35,0.48,0.11,61,9,600
1166,1166,south-carolina,0.42,0.49,0.08,79,9,894
1167,1167,south-carolina,0.38,0.45,0.04,79,9,894
1168,1168,south-carolina,0.39,0.39,0.16,80,9,600
1169,1169,south-carolina,0.43,0.45,0.12,80,9,600
1170,1170,south-carolina,0.42,0.46,0.12,84,9,768
1171,1171,south-carolina,0.37,0.41,0.11,84,9,768
1172,1172,south-carolina,0.39,0.41,0.13,91,9,1290
1173,1173,south-carolina,0.41,0.44,0.15,361,9,627
1174,1174,south-carolina,0.42,0.47,0.11,367,9,1290
1175,1175,south-dakota,0.32,0.53,0.04,4,3,459
1176,1176,south-dakota,0.4,0.55,0.05,5,3,312
1177,1177,south-dakota,0.27,0.53,0.04,11,3,298
1178,1178,south-dakota,0.4,0.56,NA,13,3,311
1179,1179,south-dakota,0.32,0.52,0.05,18,3,377
1180,1180,south-dakota,0.37,0.44,0.12,20,3,400
1181,1181,south-dakota,0.37,0.51,0.11,79,3,809
1182,1182,tennessee,0.41,0.49,0.02,4,11,1433
1183,1183,tennessee,0.39,0.55,NA,5,11,339
1184,1184,tennessee,0.36,0.5,0.14,12,11,823
1185,1185,tennessee,0.38,0.51,0.02,11,11,550
1186,1186,tennessee,0.38,0.57,NA,13,11,339
1187,1187,tennessee,0.38,0.49,0.04,18,11,572
1188,1188,tennessee,0.34,0.44,0.08,23,11,508
1189,1189,tennessee,0.35,0.47,0.18,36,11,799
1190,1190,tennessee,0.34,0.49,0.17,43,11,800
1191,1191,tennessee,0.36,0.48,0.1,39,11,472
1192,1192,tennessee,0.33,0.44,0.14,44,11,1000
1193,1193,tennessee,0.26,0.5,0.24,64,11,578
1194,1194,tennessee,0.37,0.55,0.08,79,11,1021
1195,1195,tennessee,0.33,0.49,0.18,105,11,531
1196,1196,tennessee,0.35,0.44,0.18,189,11,1001
1197,1197,texas,0.43,0.46,0.03,4,38,3009
1198,1198,texas,0.4,0.54,NA,5,38,472
1199,1199,texas,0.39,0.49,0.12,12,38,1213
1200,1200,texas,0.41,0.49,0.02,8,38,679
1201,1201,texas,0.41,0.47,NA,11,38,2051
1202,1202,texas,0.39,0.52,0.04,11,38,980
1203,1203,texas,0.41,0.55,NA,13,38,429
1204,1204,texas,0.38,0.45,0.1,16,38,800
1205,1205,texas,0.4,0.47,NA,18,38,2148
1206,1206,texas,0.42,0.45,NA,21,38,959
1207,1207,texas,0.43,0.46,0.03,19,38,1031
1208,1208,texas,0.46,0.48,0.05,27,38,1332
1209,1209,texas,0.38,0.41,0.13,28,38,1000
1210,1210,texas,0.32,0.57,0.11,36,38,831
1211,1211,texas,0.43,0.47,0.05,28,38,638
1212,1212,texas,0.34,0.5,0.16,43,38,1111
1213,1213,texas,0.38,0.45,0.1,39,38,780
1214,1214,texas,0.29,0.51,0.2,64,38,869
1215,1215,texas,0.36,0.42,0.21,63,38,502
1216,1216,texas,0.46,0.45,0.09,79,38,5147
1217,1217,texas,0.38,0.44,0.1,87,38,944
1218,1218,texas,0.36,0.46,0.09,92,38,1018
1219,1219,texas,0.33,0.41,0.08,147,38,1200
1220,1220,texas,0.37,0.39,0.25,421,38,633
1221,1221,utah,0.31,0.34,0.02,4,6,1479
1222,1222,utah,0.28,0.43,0.15,5,6,320
1223,1223,utah,0.33,0.4,0.27,12,6,532
1224,1224,utah,0.23,0.4,0.04,4,6,762
1225,1225,utah,0.24,0.33,0.07,6,6,500
1226,1226,utah,0.31,0.37,0.02,7,6,402
1227,1227,utah,0.31,0.42,0.02,9,6,750
1228,1228,utah,0.3,0.33,0.02,11,6,1078
1229,1229,utah,0.29,0.66,NA,13,6,315
1230,1230,utah,0.24,0.32,0.08,15,6,823
1231,1231,utah,0.28,0.32,0.04,16,6,750
1232,1232,utah,0.28,0.33,0.01,18,6,969
1233,1233,utah,0.28,0.3,0.04,24,6,750
1234,1234,utah,0.2,0.37,0.11,26,6,951
1235,1235,utah,0.35,0.41,0.24,36,6,543
1236,1236,utah,0.28,0.34,0.06,28,6,403
1237,1237,utah,0.26,0.26,0.07,29,6,500
1238,1238,utah,0.33,0.48,0.19,43,6,515
1239,1239,utah,0.29,0.48,0.23,64,6,408
1240,1240,utah,0.35,0.46,0.19,79,6,722
1241,1241,utah,0.24,0.39,0.14,80,6,1018
1242,1242,utah,0.25,0.37,0.07,105,6,858
1243,1243,utah,0.27,0.36,0.08,149,6,614
1244,1244,utah,0.35,0.35,0.17,156,6,1238
1245,1245,utah,0.29,0.36,NA,161,6,1519
1246,1246,utah,0.3,0.43,0.26,186,6,588
1247,1247,utah,0.38,0.38,0.25,224,6,600
1248,1248,utah,0.38,0.36,0.24,242,6,500
1249,1249,utah,0.28,0.33,0.06,333,6,622
1250,1250,utah,0.29,0.38,0.03,455,6,500
1251,1251,vermont,0.61,0.25,0.02,4,3,454
1252,1252,vermont,0.62,0.33,0.05,5,3,305
1253,1253,vermont,0.53,0.25,0.04,11,3,436
1254,1254,vermont,0.63,0.34,0.04,13,3,304
1255,1255,vermont,0.54,0.23,0.03,18,3,446
1256,1256,vermont,0.45,0.17,0.14,32,3,579
1257,1257,vermont,0.56,0.28,0.16,79,3,550
1258,1258,vermont,0.39,0.17,0.13,114,3,637
1259,1259,virginia,0.49,0.41,0.02,4,13,2183
1260,1260,virginia,0.48,0.42,0.05,5,13,1193
1261,1261,virginia,0.5,0.44,NA,5,13,344
1262,1262,virginia,0.46,0.41,0.13,12,13,636
1263,1263,virginia,0.48,0.43,0.04,5,13,1238
1264,1264,virginia,0.46,0.44,0.03,7,13,3076
1265,1265,virginia,0.45,0.38,0.09,8,13,654
1266,1266,virginia,0.48,0.38,0.02,11,13,2089
1267,1267,virginia,0.48,0.43,0.05,9,13,1106
1268,1268,virginia,0.48,0.42,0.01,10,13,1024
1269,1269,virginia,0.41,0.44,0.15,11,13,802
1270,1270,virginia,0.44,0.39,0.07,12,13,712
1271,1271,virginia,0.5,0.46,NA,13,13,337
1272,1272,virginia,0.46,0.39,0.08,14,13,814
1273,1273,virginia,0.5,0.38,0.05,16,13,749
1274,1274,virginia,0.48,0.39,0.02,18,13,2459
1275,1275,virginia,0.48,0.43,0.05,18,13,1787
1276,1276,virginia,0.45,0.33,0.05,21,13,834
1277,1277,virginia,0.43,0.38,0.08,22,13,802
1278,1278,virginia,0.54,0.41,0.05,27,13,1644
1279,1279,virginia,0.47,0.38,0.09,25,13,500
1280,1280,virginia,0.44,0.29,0.05,26,13,809
1281,1281,virginia,0.49,0.39,0.12,36,13,1075
1282,1282,virginia,0.45,0.36,0.1,35,13,814
1283,1283,virginia,0.5,0.39,0.11,43,13,594
1284,1284,virginia,0.46,0.34,0.2,39,13,800
1285,1285,virginia,0.42,0.35,0.03,40,13,892
1286,1286,virginia,0.46,0.4,0.05,42,13,811
1287,1287,virginia,0.45,0.37,0.08,47,13,1237
1288,1288,virginia,0.48,0.38,0.09,50,13,1003
1289,1289,virginia,0.45,0.39,0.06,52,13,659
1290,1290,virginia,0.44,0.37,0.09,54,13,841
1291,1291,virginia,0.47,0.38,0.15,64,13,510
1292,1292,virginia,0.4,0.37,0.1,60,13,685
1293,1293,virginia,0.45,0.39,0.08,59,13,878
1294,1294,virginia,0.49,0.41,0.09,79,13,2468
1295,1295,virginia,0.43,0.41,0.16,74,13,801
1296,1296,virginia,0.48,0.32,0.09,88,13,803
1297,1297,virginia,0.5,0.38,0.08,87,13,808
1298,1298,virginia,0.51,0.43,0.01,87,13,707
1299,1299,virginia,0.46,0.33,0.09,93,13,897
1300,1300,virginia,0.49,0.37,0.05,96,13,1181
1301,1301,virginia,0.42,0.46,0.05,105,13,655
1302,1302,virginia,0.44,0.37,0.13,120,13,601
1303,1303,virginia,0.44,0.37,0.13,120,13,601
1304,1304,virginia,0.44,0.35,0.07,123,13,876
1305,1305,virginia,0.39,0.39,0.22,123,13,805
1306,1306,virginia,0.42,0.39,0.1,147,13,1032
1307,1307,virginia,0.45,0.41,NA,168,13,1728
1308,1308,virginia,0.38,0.38,0.13,179,13,610
1309,1309,virginia,0.44,0.35,0.08,224,13,1102
1310,1310,virginia,0.52,0.35,0.13,291,13,524
1311,1311,virginia,0.5,0.36,0.14,363,13,555
1312,1312,virginia,0.47,0.4,0.06,402,13,1067
1313,1313,virginia,0.45,0.32,0.23,451,13,608
1314,1314,virginia,0.49,0.39,0.12,483,13,1170
1315,1315,washington,0.51,0.33,0.03,4,12,1451
1316,1316,washington,0.51,0.36,0.07,3,12,402
1317,1317,washington,0.56,0.39,NA,5,12,328
1318,1318,washington,0.47,0.38,0.15,12,12,863
1319,1319,washington,0.5,0.38,0.04,7,12,681
1320,1320,washington,0.53,0.34,0.02,11,12,745
1321,1321,washington,0.53,0.43,NA,13,12,327
1322,1322,washington,0.51,0.34,0.02,18,12,687
1323,1323,washington,0.53,0.39,0.22,29,12,750
1324,1324,washington,0.47,0.37,0.16,36,12,905
1325,1325,washington,0.51,0.33,0.16,43,12,504
1326,1326,washington,0.5,0.33,0.07,38,12,500
1327,1327,washington,0.47,0.37,0.16,64,12,733
1328,1328,washington,0.38,0.28,0.14,56,12,505
1329,1329,washington,0.53,0.37,0.1,79,12,722
1330,1330,washington,0.43,0.24,0.22,89,12,500
1331,1331,washington,0.49,0.37,0.13,147,12,679
1332,1332,west-virginia,0.29,0.56,0.05,4,5,472
1333,1333,west-virginia,0.34,0.56,NA,5,5,309
1334,1334,west-virginia,0.34,0.58,0.08,12,5,422
1335,1335,west-virginia,0.27,0.58,0.03,11,5,321
1336,1336,west-virginia,0.36,0.59,NA,13,5,311
1337,1337,west-virginia,0.29,0.61,0.01,18,5,379
1338,1338,west-virginia,0.41,0.54,0.05,36,5,360
1339,1339,west-virginia,0.36,0.55,0.09,43,5,371
1340,1340,west-virginia,0.28,0.6,0.12,54,5,500
1341,1341,west-virginia,0.39,0.49,0.12,64,5,295
1342,1342,west-virginia,0.33,0.57,0.1,79,5,698
1343,1343,west-virginia,0.31,0.49,0.06,81,5,435
1344,1344,west-virginia,0.3,0.57,0.13,192,5,1201
1345,1345,west-virginia,0.3,0.53,0.17,442,5,406
1346,1346,wisconsin,0.44,0.42,0.03,4,10,2246
1347,1347,wisconsin,0.51,0.43,NA,5,10,372
1348,1348,wisconsin,0.46,0.4,0.14,12,10,842
1349,1349,wisconsin,0.49,0.41,0.04,7,10,2720
1350,1350,wisconsin,0.44,0.38,0.09,8,10,500
1351,1351,wisconsin,0.48,0.41,0.1,8,10,891
1352,1352,wisconsin,0.46,0.4,0.04,11,10,1255
1353,1353,wisconsin,0.44,0.42,0.03,11,10,1195
1354,1354,wisconsin,0.46,0.42,0.05,9,10,1772
1355,1355,wisconsin,0.51,0.46,NA,13,10,365
1356,1356,wisconsin,0.43,0.41,0.03,18,10,1351
1357,1357,wisconsin,0.46,0.41,0.06,18,10,1795
1358,1358,wisconsin,0.5,0.38,0.12,21,10,804
1359,1359,wisconsin,0.47,0.4,0.05,22,10,403
1360,1360,wisconsin,0.47,0.39,0.07,24,10,664
1361,1361,wisconsin,0.48,0.44,0.08,27,10,1076
1362,1362,wisconsin,0.42,0.37,0.21,36,10,810
1363,1363,wisconsin,0.46,0.42,0.04,31,10,878
1364,1364,wisconsin,0.43,0.39,0.11,33,10,993
1365,1365,wisconsin,0.46,0.42,0.12,43,10,866
1366,1366,wisconsin,0.47,0.37,0.09,35,10,500
1367,1367,wisconsin,0.44,0.42,0.05,52,10,642
1368,1368,wisconsin,0.43,0.4,0.17,64,10,695
1369,1369,wisconsin,0.46,0.44,0.11,79,10,2687
1370,1370,wisconsin,0.43,0.38,0.08,71,10,404
1371,1371,wisconsin,0.45,0.42,0.04,73,10,650
1372,1372,wisconsin,0.48,0.41,0.12,74,10,1054
1373,1373,wisconsin,0.52,0.37,0.03,94,10,683
1374,1374,wisconsin,0.45,0.41,0.06,122,10,665
1375,1375,wisconsin,0.41,0.36,0.12,138,10,993
1376,1376,wisconsin,0.47,0.39,0.14,139,10,843
1377,1377,wisconsin,0.47,0.36,0.1,146,10,300
1378,1378,wisconsin,0.46,0.37,0.04,150,10,666
1379,1379,wisconsin,0.43,0.31,NA,181,10,600
1380,1380,wisconsin,0.46,0.34,0.09,208,10,616
1381,1381,wisconsin,0.47,0.37,0.17,221,10,1198
1382,1382,wisconsin,0.49,0.35,0.1,224,10,1602
1383,1383,wisconsin,0.47,0.37,0.05,227,10,1405
1384,1384,wisconsin,0.48,0.37,0.06,262,10,802
1385,1385,wisconsin,0.47,0.38,0.06,290,10,806
1386,1386,wisconsin,0.48,0.38,0.05,360,10,803
1387,1387,wisconsin,0.5,0.39,0.11,389,10,603
1388,1388,wisconsin,0.5,0.36,0.04,409,10,803
1389,1389,wisconsin,0.51,0.35,0.04,451,10,802
1390,1390,wyoming,0.28,0.67,0.05,5,3,320
1391,1391,wyoming,0.22,0.62,0.04,11,3,251
1392,1392,wyoming,0.3,0.65,0.05,13,3,311
1393,1393,wyoming,0.25,0.59,0.05,18,3,361
1394,1394,wyoming,0.19,0.54,0.15,61,3,402
1395,1395,wyoming,0.27,0.65,0.08,79,3,727
