,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
167,167,connecticut,0.51,0.39,0.02,11,7,554
168,168,connecticut,0.54,0.43,NA,13,7,326
169,169,connecticut,0.5,0.36,0.02,18,7,515
170,170,connecticut,0.53,0.36,0.11,36,7,741
171,171,connecticut,0.53,0.35,0.12,43,7,506
172,172,connecticut,0.47,0.37,0.16,64,7,674
173,173,connecticut,0.51,0.39,0.1,79,7,1053
174,174,connecticut,0.45,0.38,0.14,158,7,1030
175,175,connecticut,0.48,0.4,0.12,212,7,1043
176,176,connecticut,0.47,0.4,0.11,396,7,1735
177,177,dc,0.85,0.07,0.02,4,3,310
178,178,dc,0.92,0.06,0.03,5,3,312
179,179,dc,0.88,0.04,0.01,11,3,332
180,180,dc,0.81,0.13,0.06,13,3,310
181,181,dc,0.88,0.05,0.02,18,3,504
182,182,dc,0.85,0.07,0.02,4,3,310
183,183,dc,0.92,0.06,0.03,5,3,312
184,184,dc,0.88,0.04,0.01,11,3,332
185,185,dc,0.81,0.13,0.06,13,3,310
186,186,dc,0.88,0.05,0.02,18,3,504
187,187,dc,0.2,0.66,0.14,172,3,NA
188,188,dc,0.17,0.7,0.13,263,3,NA
189,189,dc,0.07,0.91,0.02,308,3,NA
190,190,delaware,0.5,0.39,0.03,4,3,367
191,191,delaware,0.54,0.42,NA,5,3,307
192,192,delaware,0.5,0.38,0.04,11,3,458
193,193,delaware,0.55,0.42,NA,13,3,308
194,194,delaware,0.52,0.34,0.02,18,3,528
195,195,delaware,0.51,0.3,0.09,47,3,762
196,196,delaware,0.5,0.36,0.14,79,3,637
197,197,delaware,0.42,0.32,0.12,109,3,715
198,198,florida,0.47,0.45,0.02,4,29,4092
199,199,florida,0.48,0.46,0.01,3,29,853
200,200,florida,0.46,0.45,0.05,3,29,884
201,201,florida,0.46,0.46,0.05,3,29,884
202,202,florida,0.47,0.47,0,5,29,438
203,203,florida,0.48,0.47,0.05,12,29,1274
204,204,florida,0.45,0.45,0.02,5,29,1188
205,205,florida,0.45,0.48,0.03,7,29,2352
206,206,florida,0.49,0.45,0.02,7,29,603
207,207,florida,0.46,0.45,0.04,10,29,626
208,208,florida,0.47,0.45,0.04,10,29,626
209,209,florida,0.49,0.47,0,10,29,773
210,210,florida,0.5,0.49,0,10,29,773
211,211,florida,0.51,0.49,0,8,29,1995
212,212,florida,0.49,0.46,0.01,8,29,1995
213,213,florida,0.46,0.45,0.02,11,29,2809
214,214,florida,0.44,0.48,0.04,9,29,989
215,215,florida,0.48,0.4,0,12,29,718
216,216,florida,0.48,0.47,0,13,29,408
217,217,florida,0.42,0.46,0.06,13,29,814
218,218,florida,0.45,0.48,0.07,13,29,814
219,219,florida,0.42,0.46,0.06,14,29,698
220,220,florida,0.46,0.46,0.01,14,29,779
221,221,florida,0.45,0.44,0.02,14,29,779
222,222,florida,0.5,0.37,0.07,15,29,1028
223,223,florida,0.49,0.35,0.08,15,29,1028
224,224,florida,0.46,0.44,0.06,17,29,786
225,225,florida,0.43,0.39,0.09,17,29,819
226,226,florida,0.45,0.46,0.05,16,29,953
227,227,florida,0.43,0.45,0.06,16,29,953
228,228,florida,0.48,0.45,0,17,29,1251
229,229,florida,0.47,0.44,0.03,18,29,2765
230,230,florida,0.46,0.46,0.05,18,29,1646
231,231,florida,0.46,0.43,0.03,19,29,1042
232,232,florida,0.49,0.45,0.02,19,29,538
233,233,florida,0.45,0.39,0.08,22,29,892
234,234,florida,0.48,0.44,0.04,26,29,660
235,235,florida,0.49,0.45,0.05,26,29,660
236,236,florida,0.47,0.47,0.06,27,29,1702
237,237,florida,0.43,0.45,0.03,27,29,1702
238,238,florida,0.46,0.42,0.06,27,29,985
239,239,florida,0.49,0.44,0.07,27,29,985
240,240,florida,0.46,0.42,0.1,27,29,1799
241,241,florida,0.48,0.42,0.1,36,29,1799
242,242,florida,0.42,0.4,0.11,30,29,1532
243,243,florida,0.42,0.38,0.1,30,29,1532
244,244,florida,0.47,0.44,0.03,29,29,533
245,245,florida,0.49,0.43,0.07,32,29,500
246,246,florida,0.49,0.44,0.07,43,29,1360
247,247,florida,0.46,0.44,0.03,35,29,700
248,248,florida,0.45,0.42,0.04,35,29,700
249,249,florida,0.47,0.4,0.09,38,29,661
250,250,florida,0.41,0.38,0.1,38,29,686
251,251,florida,0.46,0.41,0.05,40,29,545
252,252,florida,0.49,0.44,0.06,40,29,545
253,253,florida,0.47,0.46,0.01,41,29,619
254,254,florida,0.46,0.42,0.04,41,29,820
255,255,florida,0.45,0.43,0.08,42,29,826
256,256,florida,0.48,0.45,0.07,42,29,826
257,257,florida,0.44,0.45,0.08,49,29,500
258,258,florida,0.43,0.41,0.06,52,29,617
259,259,florida,0.46,0.41,0.05,51,29,400
260,260,florida,0.49,0.44,0,56,29,475
261,261,florida,0.46,0.5,0.04,64,29,1065
262,262,florida,0.43,0.43,0.1,57,29,867
263,263,florida,0.41,0.4,0.08,57,29,867
264,264,florida,0.44,0.47,0.01,60,29,788
265,265,florida,0.46,0.5,0,60,29,788
266,266,florida,0.44,0.42,0.06,61,29,1193
267,267,florida,0.47,0.47,0.05,67,29,761
268,268,florida,0.43,0.43,0.03,67,29,761
269,269,florida,0.43,0.44,0.06,64,29,744
270,270,florida,0.47,0.46,0.07,64,29,744
271,271,florida,0.46,0.44,0.1,79,29,3287
272,272,florida,0.42,0.4,0.06,79,29,3287
273,273,florida,0.42,0.37,0.08,79,29,600
274,274,florida,0.43,0.44,0.05,81,29,608
275,275,florida,0.41,0.44,0.04,81,29,608
276,276,florida,0.52,0.38,NA,84,29,1380
277,277,florida,0.48,0.39,0.05,86,29,402
278,278,florida,0.45,0.4,0.04,89,29,1194
279,279,florida,0.45,0.44,0.03,90,29,622
280,280,florida,0.44,0.39,0.07,93,29,862
281,281,florida,0.41,0.36,0.09,93,29,862
282,282,florida,0.46,0.45,0.05,97,29,1056
283,283,florida,0.43,0.43,0.03,97,29,1056
284,284,florida,0.48,0.42,0.1,98,29,500
285,285,florida,0.43,0.39,0.12,98,29,500
286,286,florida,0.44,0.37,0.07,123,29,871
287,287,florida,0.41,0.36,0.1,123,29,871
288,288,florida,0.39,0.42,0.13,125,29,1015
289,289,florida,0.36,0.41,0.11,125,29,1015
290,290,florida,0.42,0.47,0.08,122,29,700
291,291,florida,0.45,0.4,0.07,123,29,1100
292,292,florida,0.45,0.49,NA,134,29,1619
293,293,florida,0.45,0.47,0.08,134,29,800
294,294,florida,0.46,0.42,0.05,135,29,1678
295,295,florida,0.44,0.41,0.07,138,29,1192
296,296,florida,0.52,0.39,0.03,146,29,300
297,297,florida,0.49,0.38,0.02,146,29,300
298,298,florida,0.47,0.39,0.12,147,29,975
299,299,florida,0.42,0.36,0.1,147,29,975
300,300,florida,0.4,0.41,0.13,157,29,737
301,301,florida,0.44,0.45,0.11,157,29,737
302,302,florida,0.45,0.42,0.07,160,29,625
303,303,florida,0.43,0.42,0.15,174,29,995
304,304,florida,0.46,0.42,0.12,175,29,2542
305,305,florida,0.43,0.42,0.13,189,29,1051
306,306,florida,0.49,0.36,0.15,196,29,604
307,307,florida,0.49,0.41,0.09,246,29,2422
308,308,florida,0.44,0.45,0.12,248,29,1961
309,309,florida,0.5,0.43,0.01,249,29,854
310,310,florida,0.44,0.46,0.1,258,29,1012
311,311,florida,0.45,0.38,0.145,279,29,608
312,312,florida,0.44,0.47,0.09,296,29,1008
313,313,florida,0.49,0.41,0,343,29,404
314,314,florida,0.41,0.49,0.1,359,29,829
315,315,florida,0.43,0.47,0.09,375,29,2400
316,316,florida,0.46,0.41,0.1,405,29,1173
317,317,florida,0.45,0.46,0.1,416,29,801
318,318,florida,0.42,0.41,NA,417,29,605
