"FIPS","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16"
"13251",0.85,13.29,44.07,13.3,7.2
"13253",1.4,15.13,35.84,10.2,7.9
"13255",3.22,15.87,36.93,12.1,6.5
"13257",2.38,16.17,15.96,10.2,5.9
"13259",25.84,10.76,70.23,8.8,6
"13261",2.95,19.01,57.42,11.6,7.8
"13263",0.86,13.66,58.57,9.3,6.8
"13265",1.45,9.93,59.97,13.2,7.3
"13267",4.28,10.96,38.96,7.9,5.2
"13269",1.07,11.12,41.3,12.9,12
"13271",12.29,9.33,42.12,11.9,13.6
"13273",0.65,11.19,63.15,10,6.5
"13275",2.62,19.16,40.13,9.4,6.1
"13277",5.99,16.8,35.75,9.5,5.4
"13279",5.51,15.67,33.6,11,7
"13281",3.34,22.43,4.2,9.5,6
"13283",1.17,14.78,29.86,12.7,8.5
"13285",4.23,18.68,39.68,9.1,4.9
"13287",4.26,11.65,44.39,11.3,6.8
"13289",0.15,9.75,44.14,14.9,8.7
"13291",2.36,21.93,3.84,8,4.6
"13293",1.22,12.07,29.69,10.3,6.8
"13295",1.16,14.68,7.62,8.3,5.3
"13297",4.12,17.9,20.38,8.5,4.7
"13299",3.52,12.89,34.18,9.8,5.4
"13301",2,12.5,62.43,15.4,7.4
"13303",1.58,12.89,54.41,10.4,6.4
"13305",3.08,13.12,25.64,10.2,6.7
"13307",0.18,7.59,56.8,10.3,8.4
"13309",1.56,5.61,41.89,12.7,11.6
"13311",2.46,20.7,5.71,8,4.5
"13313",18.27,13.98,11.67,10.3,5.8
"13315",2.22,8.46,40.46,11.6,7.4
"13317",3.24,15.67,46.8,12.1,7.2
"13319",1.43,7.45,40.43,11,6.5
"13321",1.91,9.39,30.79,9.8,5.8
"15001",11.18,26.76,66.61,7.4,3.8
"15003",19.07,32.66,78.27,5,2.9
"15005",16.47,34.62,62.35,NA,NA
"15007",16.47,28.03,66.71,6.5,3.3
"15009",17.87,26.08,65.11,5.8,3.3
"16001",6.36,37.06,8.6,5.7,3.2
"16003",1.57,21.49,3.53,11.8,5
"16005",3.69,26.41,9.56,6,3.2
"16007",2.49,19.11,4.13,5,3.5
"16009",1.28,13.29,13.22,9.9,5.4
"16011",7.05,17.49,13.54,5.1,2.8
"16013",13.93,42.86,10.2,6.1,2.7
"16015",2.37,25.05,4.79,8,4.8
"16017",1.96,20.94,4.48,9.2,4.7
"16019",5.3,27.21,9.78,5.5,2.8
"16021",2.4,16,5.96,7.9,4
"16023",3.77,15.63,7.09,6.4,3.3
"16025",5.61,18.32,6.56,7.7,2.3
"16027",8.41,17.74,9.39,8.1,3.8
"16029",2.88,19.31,1.62,5.1,3.2
"16031",11.25,17.79,7.69,4.7,2.3
"16033",27.75,15.03,5.11,5.5,2.5
"16035",1.97,16.95,5.96,10.1,6.9
"16037",2.08,27.1,2.53,7.5,4.2
"16039",10.38,16.61,15.15,6.7,3.7
"16041",3.85,18.44,3.62,3.8,2.4
"16043",4.42,20.53,6.31,4.3,2.2
"16045",3.59,15.97,5.7,8.2,4
"16047",15.18,14.34,13.56,4.8,2.4
"16049",1.27,19.28,6.14,9,4.7
"16051",4.52,20.19,6.64,5.2,2.5
"16053",16.88,13.99,8.24,5.3,2.6
"16055",2.15,23.27,5.63,7.6,4.1
"16057",4.96,45.65,7,4.9,2.6
"16059",1.69,21.48,4.21,8.2,5.2
"16061",2.47,15.2,10.81,5.1,5.6
"16063",13.31,11.62,11.39,7.6,2.9
"16065",4.52,34.81,4.68,3.8,1.9
"16067",13.09,12.9,10.64,4.8,2.5
"16069",1.43,23.39,10.25,5.2,2.9
"16071",1.91,14.07,3.09,4.1,3.1
"16073",10.57,8.88,11.48,3.5,3.5
